dataset,filename,path,Early blight,Healthy,Late blight,Leaf Miner,Magnesium Deficiency,Nitrogen Deficiency,Pottassium Deficiency,Spotted Wilt Virus
test,IMG20220323100545_1.jpg,Variant-b(MultiLabel Classification)/test/IMG20220323100545_1.jpg,1.0,,,,,,,
test,IMG20220323102226_1.jpg,Variant-b(MultiLabel Classification)/test/IMG20220323102226_1.jpg,1.0,,,,,,,
test,IMG20220323102423_7.jpg,Variant-b(MultiLabel Classification)/test/IMG20220323102423_7.jpg,1.0,,,,,,,
test,IMG20220323102851_4.jpg,Variant-b(MultiLabel Classification)/test/IMG20220323102851_4.jpg,1.0,,,,,,,
test,IMG20220323103905_4.jpg,Variant-b(MultiLabel Classification)/test/IMG20220323103905_4.jpg,1.0,,,,,,,
test,IMG20220323104920.jpg,Variant-b(MultiLabel Classification)/test/IMG20220323104920.jpg,1.0,,,,,,,
test,IMG20220323124302_5.jpg,Variant-b(MultiLabel Classification)/test/IMG20220323124302_5.jpg,1.0,,,,,,,
test,IMG20220323124302_7.jpg,Variant-b(MultiLabel Classification)/test/IMG20220323124302_7.jpg,1.0,,,,,,,
test,IMG20220323125626_2.jpg,Variant-b(MultiLabel Classification)/test/IMG20220323125626_2.jpg,1.0,,,,,,,
test,IMG20220323132206_2.jpg,Variant-b(MultiLabel Classification)/test/IMG20220323132206_2.jpg,1.0,,,,,,,
test,IMG20220323132206_4.jpg,Variant-b(MultiLabel Classification)/test/IMG20220323132206_4.jpg,1.0,,,,,,,
test,IMG20220323132208.jpg,Variant-b(MultiLabel Classification)/test/IMG20220323132208.jpg,1.0,,,,,,,
test,IMG20220323132208_2.jpg,Variant-b(MultiLabel Classification)/test/IMG20220323132208_2.jpg,1.0,,,,,,,
test,IMG20220323132208_3.jpg,Variant-b(MultiLabel Classification)/test/IMG20220323132208_3.jpg,1.0,,,,,,,
test,IMG20220323183200_4.jpg,Variant-b(MultiLabel Classification)/test/IMG20220323183200_4.jpg,1.0,,,,,,,
test,IMG20220323183239.jpg,Variant-b(MultiLabel Classification)/test/IMG20220323183239.jpg,1.0,,,,,,,
test,IMG20220323183239_4.jpg,Variant-b(MultiLabel Classification)/test/IMG20220323183239_4.jpg,1.0,,,,,,,
test,IMG20220323183239_6.jpg,Variant-b(MultiLabel Classification)/test/IMG20220323183239_6.jpg,1.0,,,,,,,
test,IMG20220323183454_1.jpg,Variant-b(MultiLabel Classification)/test/IMG20220323183454_1.jpg,1.0,,,,,,,
test,IMG20220324112404_2.jpg,Variant-b(MultiLabel Classification)/test/IMG20220324112404_2.jpg,1.0,,,,,,,
test,IMG20220324114755_1.jpg,Variant-b(MultiLabel Classification)/test/IMG20220324114755_1.jpg,1.0,,,,,,,
test,IMG20220324115257_4.jpg,Variant-b(MultiLabel Classification)/test/IMG20220324115257_4.jpg,1.0,,,,,,,
test,IMG20220324115307_3.jpg,Variant-b(MultiLabel Classification)/test/IMG20220324115307_3.jpg,1.0,,,,,,,
test,IMG20220324121417.jpg,Variant-b(MultiLabel Classification)/test/IMG20220324121417.jpg,1.0,,,,,,,
test,IMG20220324122015_4.jpg,Variant-b(MultiLabel Classification)/test/IMG20220324122015_4.jpg,1.0,,,,,,,
test,IMG20220324122018_5.jpg,Variant-b(MultiLabel Classification)/test/IMG20220324122018_5.jpg,1.0,,,,,,,
test,IMG20220324175323.jpg,Variant-b(MultiLabel Classification)/test/IMG20220324175323.jpg,1.0,,,,,,,
test,IMG20220324175323_3.jpg,Variant-b(MultiLabel Classification)/test/IMG20220324175323_3.jpg,1.0,,,,,,,
test,IMG20220324175323_6.jpg,Variant-b(MultiLabel Classification)/test/IMG20220324175323_6.jpg,1.0,,,,,,,
test,IMG20220324175919_4.jpg,Variant-b(MultiLabel Classification)/test/IMG20220324175919_4.jpg,1.0,,,,,,,
test,IMG20220324175919_5.jpg,Variant-b(MultiLabel Classification)/test/IMG20220324175919_5.jpg,1.0,,,,,,,
test,IMG20220324180120_3.jpg,Variant-b(MultiLabel Classification)/test/IMG20220324180120_3.jpg,1.0,,,,,,,
test,IMG20220324180351_6.jpg,Variant-b(MultiLabel Classification)/test/IMG20220324180351_6.jpg,1.0,,,,,,,
test,IMG20220324181738_1.jpg,Variant-b(MultiLabel Classification)/test/IMG20220324181738_1.jpg,1.0,,,,,,,
test,IMG20220324182628_5.jpg,Variant-b(MultiLabel Classification)/test/IMG20220324182628_5.jpg,1.0,,,,,,,
test,IMG20220324182634_4.jpg,Variant-b(MultiLabel Classification)/test/IMG20220324182634_4.jpg,1.0,,,,,,,
test,IMG20220324182728_4.jpg,Variant-b(MultiLabel Classification)/test/IMG20220324182728_4.jpg,1.0,,,,,,,
test,IMG20220324182732_1.jpg,Variant-b(MultiLabel Classification)/test/IMG20220324182732_1.jpg,1.0,,,,,,,
test,IMG20220324182732_2.jpg,Variant-b(MultiLabel Classification)/test/IMG20220324182732_2.jpg,1.0,,,,,,,
test,IMG20220324184123_4.jpg,Variant-b(MultiLabel Classification)/test/IMG20220324184123_4.jpg,1.0,,,,,,,
test,IMG20220324184123_6.jpg,Variant-b(MultiLabel Classification)/test/IMG20220324184123_6.jpg,1.0,,,,,,,
test,IMG20220324184129_2.jpg,Variant-b(MultiLabel Classification)/test/IMG20220324184129_2.jpg,1.0,,,,,,,
test,IMG20220324184224_2.jpg,Variant-b(MultiLabel Classification)/test/IMG20220324184224_2.jpg,1.0,,,,,,,
test,IMG20220325114801_6.jpg,Variant-b(MultiLabel Classification)/test/IMG20220325114801_6.jpg,1.0,,,,,,,
test,IMG20220325120823_1.jpg,Variant-b(MultiLabel Classification)/test/IMG20220325120823_1.jpg,1.0,,,,,,,
test,IMG20220325120823_4.jpg,Variant-b(MultiLabel Classification)/test/IMG20220325120823_4.jpg,1.0,,,,,,,
test,IMG20220325133411_3.jpg,Variant-b(MultiLabel Classification)/test/IMG20220325133411_3.jpg,1.0,,,,,,,
